STATUS | wrapper  | 2013/05/22 13:28:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/22 13:28:50 | Launching a JVM...
2013.05.22 13:29:07 INFO  org.sonar.INFO  Start components done: 6913 ms
INFO   | jvm 1    | 2013/05/22 13:29:07 | 2013-05-22 13:29:07.837:INFO::Started SelectChannelConnector@0.0.0.0:9000
2013.05.22 13:38:44 INFO  org.sonar.INFO  Code colorizer, supported languages: grvy,java
STATUS | wrapper  | 2013/06/05 17:51:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/06/05 17:51:51 | Launching a JVM...
INFO   | jvm 1    | 2013/06/05 17:51:53 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/06/05 17:51:53 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/06/05 17:51:53 | 
INFO   | jvm 1    | 2013/06/05 17:51:53 | 2013-06-05 17:51:53.564:INFO::Logging to org.sonar.application.FilteredLogger@133092e via org.sonar.application.FilteredLogger
INFO   | jvm 1    | 2013/06/05 17:51:53 | 2013-06-05 17:51:53.627:INFO::jetty-6.1.25
INFO   | jvm 1    | 2013/06/05 17:51:54 | 2013-06-05 17:51:54.906:INFO::NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
2013.06.05 17:51:55 INFO  o.s.s.p.ServerImpl  Sonar Server / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:51:59 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2013.06.05 17:51:59 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: C:\work\sonar-3.5.1\data
2013.06.05 17:51:59 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2013.06.05 17:51:59 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
2013.06.05 17:51:59 INFO  o.s.s.p.DefaultServerFileSystem  Sonar home: C:\work\sonar-3.5.1
2013.06.05 17:51:59 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: C:\work\sonar-3.5.1\war\sonar-server\deploy
2013.06.05 17:52:00 INFO  org.sonar.INFO  Install plugins...
2013.06.05 17:52:00 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Groovy / 0.6 / 2418390b988d1f8acc5bf7c6689a7aa9d6d75722
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Core / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Database Cleaner / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Cobertura / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Squid for Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Email notifications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.05 17:52:01 INFO  org.sonar.INFO  Install plugins done: 999 ms
2013.06.05 17:52:01 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2013.06.05 17:52:01 INFO  org.sonar.INFO  Start components...
2013.06.05 17:52:01 INFO  o.s.j.s.AbstractDatabaseConnector  Initializing Hibernate
2013.06.05 17:52:03 INFO  o.s.s.n.NotificationService  Notification service started (delay 60 sec.)
2013.06.05 17:52:03 INFO  org.sonar.INFO  Deploy GWT plugins...
2013.06.05 17:52:03 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.libraries.LibrariesPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.06.05 17:52:03 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.page.DesignPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.06.05 17:52:04 INFO  org.sonar.INFO  Deploy GWT plugins done: 795 ms
2013.06.05 17:52:04 INFO  org.sonar.INFO  Load metrics...
2013.06.05 17:52:04 INFO  org.sonar.INFO  cleaning alert thresholds...
2013.06.05 17:52:04 INFO  org.sonar.INFO  Load metrics done: 624 ms
2013.06.05 17:52:04 INFO  org.sonar.INFO  Register rules [findbugs/java]...
2013.06.05 17:52:05 INFO  org.sonar.INFO  414 rules
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [findbugs/java] done: 358 ms
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [grvy/grvy]...
